source	ref	human
Psychoactive drugs can be helpful if targeted toward coexisting psychiatric disorders ( eg , major depression , panic disorder ) .	Treatment involves a combination of drugs ( usually antianxiety drugs and sometimes antidepressants ) and psychotherapy .	1.0
Many patients with nonspecific interstitial pneumonia respond to treatment with corticosteroids , with or without immunosuppressive drugs ( eg , azathioprine , mycophenolate mofetil , cyclophosphamide ) .	Some doctors give corticosteroids or cytotoxic drugs ( such as azathioprine or cyclophosphamide ) because they may be effective in other interstitial lung diseases , but the effectiveness for these diseases is unknown .	3.5
The best known autonomic neuropathies are those accompanying peripheral neuropathy due to diabetes , amyloidosis , or autoimmune disorders .	Common causes of autonomic neuropathies include Diabetes ; Amyloidosis ( accumulation of an abnormal protein in tissues ) ; Autoimmune disorders ( when the immune system misinterprets the body ’ s tissues as foreign and attacks them ) .	2.0
Topical clindamycin and erythromycin are used as primary or adjunctive treatment for acne vulgaris in patients who do not warrant or tolerate oral antibiotics .	Clindamycin and erythromycin are best used as an additional treatment for acne .	3.0
Elevated levels suggest increased risk of spina bifida cystica ( occult spinal dysraphism rarely causes elevated levels ) .	In occult spinal dysraphism , a more severe form of spina bifida , newborns are born with visible abnormalities on their lower back .	0.5
Ultrasonography , arthrography , and bone scanning may help in certain conditions , as can biopsy of bone , synovium , or other tissues .	Other imaging tests include ultrasonography , arthrography ( an x-ray procedure in which a radiopaque dye is injected into a joint space to outline the structures , such as ligaments inside the joint ) , and bone scanning .	2.5
Although classically described as occurring with tampon use , TSS may follow many staphylococcal or streptococcal soft-tissue infections .	Using superabsorbent tampons or having an infection caused by Staphylococcus aureus or group A streptococci increases the risk of toxic shock syndrome .	0.5
Instead of trying to achieve specific target low density lipoprotein cholesterol ( LDL ) levels , patients are selected for treatment based on their risk of ASCVD .	Levels of lipoproteins and therefore lipids , particularly low -density lipoprotein ( LDL ) cholesterol , increase slightly as people age .	1.0
Symptoms and signs of mild alkalemia are usually related to the underlying disorder .	Almost always , treatment of alkalosis is directed at reversing the cause .	2.5
Levels of estrogens other than estradiol are usually increased , but the relationship between estrogens and feminization is complex .	Hormones that may be measured include female hormones such as estrogen or progesterone ( which helps control the menstrual cycle ) , thyroid hormones , and prolactin .	1.5
Older polymethyl methacrylate rigid contact lenses have been replaced by gas-permeable contact lenses ( GPCLs ) made of fluorocarbon and polymethyl methacrylate admixtures .	Modern gas-permeable contact lenses ( GPCLs ) , which are made of plastics such as newer fluorosilicone acrylate compounds , permit more oxygen to reach the cornea .	2.0
