source	ref	human
For example , pain radiating to the shoulder may reflect cholecystis because the gallbladder may be irritating the diaphragm .	Pain from a gallbladder attack may be felt in the back of the shoulder .	3.0
Bladder training helps patients tolerate and ultimately inhibit detrusor contractions .	Pelvic muscle relaxation exercises , sometimes with biofeedback ( see Biofeedback ) , can help women with tight pelvic muscles learn to consciously relax them .	1.0
2nd- degree sprains : Stress is painful , and joint opening is limited .	For less severe sprains , such as types I and II , the joint is usually immobilized , typically with a sling , and exercises to maintain the joint 's range of motion are begun early .	1.0
Absence seizures may occur in one third of patients .	Atypical absence seizures differ from typical absence seizures as follows :	0.5
Aneurysms are abnormal dilations of arteries defined as a ≥ 50 % increase in arterial diameter compared with normal segments .	Aortic branch aneurysms are bulges ( dilations ) in the wall of the major arteries that come directly off of the aorta .	3.0
Conjunctivitis may accompany the common cold and other systemic viral infections ( especially measles , but also chickenpox , rubella , and mumps ) .	Such viral infections include measles , mumps , rubella , chickenpox , Zika , and some of the viruses that cause cold- and flu-like symptoms .	2.0
It may also need to be differentiated from rhabdomyosarcoma , hepatoblastoma , lymphoma , and tumors of genital origin .	Other primary tumors include chondroblastomas , osteoblastomas , melanomas , lymphomas , rhabdomyosarcomas , lymphangiosarcomas , multiple myeloma , and plasmacytomas .	1.5
Chorea and athetosis result from impaired inhibition of thalamocortical neurons by the basal ganglia .	Chorea and athetosis result from overactivity in the basal ganglia , the part of the brain that helps initiate and smooth out and coordinate intended ( voluntary ) movements initiated by nerve impulses from the brain .	3.5
Arthrocentesis is mandatory in most patients with a new effusion to rule out infection and identify crystals .	If joints are swollen , doctors usually insert a needle into the joint to take a sample of the fluid in the joint for testing ( a procedure called joint aspiration or arthrocentesis ) .	3.0
MRI or CT can show cerebral atrophy and often white matter loss .	Diffusion-weighted MRI can often help doctors differentiate a TIA from an ischemic stroke .	2.0
Patients with type B have sphingomyelinase activity within 5 to 10 % of normal .	Doctors also measure levels of sphingomyelinase in white blood cells for types A and B .	2.0
These drugs may also be given to household contacts or other exposed people at high risk of developing complications of influenza .	Prevention is important for all people , but particularly for health care workers and those who are at high risk of complications of influenza .	0.0
Excessively active osteoclasts are often large and contain many nuclei .	Some doctors simply consider them to be large osteoid osteomas .	2.0
More advanced retinopathy may require panretinal laser photocoagulation or more rarely vitrectomy .	Fluorescein angiography is particularly useful in the diagnosis of macular degeneration , blocked retinal blood vessels , and diabetic retinopathy .	2.0
After INTACS are inserted , the central corneal curvature is flattened , reducing myopia .	The plastic arcs change the shape of the cornea to improve focus .	2.0
Zoledronate can be given in doses of 4 to 8 mg IV and lowers serum calcium very effectively for an average of > 40 days .	Calcium salts ( calcium carbonate or calcium acetate ) or sevelamer may be given by mouth to prevent or treat a high level of phosphorus in the blood .	0.0
Left ventricular assist devices ( LVAD ) may also be considered for destination therapy in some patients ( eg patients who are not eligible for cardiac transplant ) .	In some cases of heart failure , a surgery such as a left ventricular assist device ( LVAD ) , or heart transplantation may be necessary .	2.0
HF burns should be triaged more urgently than their appearance would otherwise indicate ; patients with large areas of exposure should be triaged immediate because of the danger of systemic toxicity .	However , because burns caused by HF ( particularly in low concentrations ) take time to cause symptoms , medical personnel remain vigilant for injury done to the person 's deep tissues and organs .	2.0
In one-on-one situations , hearing and speech understanding is relatively unaffected .	Not recognizing and treating hearing impairment can seriously impair speech and understanding of language .	2.0
Effective teaching programs may take a remedial , compensatory , or strategic ( ie , teaching the child how to learn ) approach .	For learning disorders , the most useful treatment is education that is carefully tailored to the individual child .	2.0
Metabolic acidosis should be treated to bring serum bicarbonate to normal ( > 23 mmol/L ) to help reverse or slow muscle wasting , bone loss , and progression of CKD .	The increase in aldosterone increases potassium and acid secretion in the kidneys , leading to low blood potassium ( hypokalemia ) and loss of acids in the blood that causes blood pH to be alkaline ( a disorder called metabolic alkalosis ) .	2.0
