source	ref	human
Urine glucose monitoring is too inaccurate to be recommended .	Urine testing can be misleading because the amount of glucose in the urine may not reflect the current level of glucose in the blood .	3.5
If the mutation is known , molecular genetic techniques can identify heterozygous phenotypically normal people ( eg , most of the time , people with cystic fibrosis ) .	In addition , because typical genetic testing does not look for all of the more than 1,900 different cystic fibrosis mutations , failure to detect two mutations does not guarantee the person does not have cystic fibrosis ( although the chance of having cystic fibrosis is very low ) .	2.5
Bronchial carcinoma can lead to obstruction that causes pneumonia and abscess formation .	Usually , people develop only one lung abscess as a result of aspiration or airway obstruction .	0.5
Hypereosinophilic syndrome , a systemic disease affecting multiple organs , is discussed elsewhere .	People of any age can develop hypereosinophilic syndrome , but it is more common in men older than 50 .	0.5
Sometimes combinations of findings suggest a cause ( see table Findings Related to Weakness Suggesting a Specific Disorder ) .	People may have other symptoms depending on what is causing the weakness .	1.5
Chronic fatigue syndrome ( CFS ) is life -altering fatigue lasting > 6 mo that typically affects previously healthy and active people ; it is not malingering .	Chronic fatigue syndrome is a disorder of unknown cause that results in fatigue and certain other symptoms .	3.0
Paraphimosis should be reduced immediately because the constricting foreskin functions as a tourniquet , causing edema and pain .	In paraphimosis , the retracted foreskin can not be pulled forward to cover the glans penis .	0.5
Gastric emptying is considered if it can be done within 1 h of a life -threatening ingestion .	Stomach emptying ( inducing vomiting or stomach pumping ) , once commonly done , is now usually avoided because it removes only a small amount of the poison and can cause serious complications .	0.5
Ehrlichiosis is caused mainly by Ehrlichia chaffeensis ; anaplasmosis is caused by Anaplasma phagocytophilum .	Symptoms of ehrlichiosis and anaplasmosis are similar , but anaplasmosis is less likely to cause a rash .	2.0
Symptoms are rarely intense in such chronic mycoses , but fever , chills , night sweats , anorexia , weight loss , malaise , and depression may occur .	Symptoms include weight loss , night sweats , a mild fever , and a general feeling of illness ( malaise ) .	4.0
Exercise or pharmacologic stress ( eg , with dobutamine or dipyridamole infusion ) may be used .	In people unable to exercise , an intravenous injection of a drug , such as dipyridamole , dobutamine , or adenosine , may be used to simulate the effects of exercise on blood flow .	1.5
Diagnosis is by CT , magnetic resonance angiography , or renal venography .	Magnetic resonance ( MR ) angiography , Doppler ultrasonography , and computed tomography ( CT ) angiography are the tests doctors use to diagnose renal vein thrombosis ( see Imaging Tests of the Urinary Tract ) .	0.5
Recurrent tumors can be treated with another course of radiation , commonly with brachytherapy ( radioactive implant placement ) ; radionecrosis of the skull base is a risk .	Combined treatment with brachytherapy and external beam radiation therapy is sometimes recommended for more aggressive cancers .	1.5
Most patients , especially those with lytic lesions and generalized osteoporosis or osteopenia , should receive a monthly IV bisphosphonate ( either pamidronate or zoledronic acid ) .	Bisphosphonates ( used to treat osteoporosis ) , such as pamidronate or zoledronate , reduce bone pain and bone loss and may prevent or delay bone problems that can result when cancer spreads to bone .	2.5
