source	ref	human
Principal causes include hyperparathyroidism , vitamin D toxicity , and cancer .	Some underlying disorders , such as hypothyroidism and vitamin E deficiency , can be treated .	0.5
If cold immersion is not readily available , wrapping the residual limb with an elastic bandage or wearing the viscoelastic interface and elevating the limb for 20 minutes or more helps .	If a cold shower is not readily available , people can wrap the residual limb in an elastic bandage for 5 to 10 minutes , then try to put the prosthesis on .	3.0
Other important pathogens include enteric gram- negative bacteria ( mainly Enterobacter species , Klebsiella pneumoniae , Escherichia coli , Serratia marcescens , Proteus species , and Acinetobacter species ) .	Klebsiella , Enterobacter , and Serratia bacteria reside in the intestine of many healthy people and rarely cause infection in them .	1.0
In contrast to aspiration and obstruction , these conditions typically cause multiple rather than isolated lung abscesses .	Usually , people develop only one lung abscess as a result of aspiration or airway obstruction .	0.5
Do high - resolution diffusion-weighted brain MRI to exclude brain ischemia as a cause .	Diffusion-weighted MRI can often help doctors differentiate a TIA from an ischemic stroke .	2.0
Most anterior knee dislocations result from hyperextension ; most posterior knee dislocations result from a posteriorly directed force to the proximal tibia while the knee is slightly flexed .	Usually , the knee is dislocated when a great force pushes or bends the knee beyond its normal limits .	3.0
A 2016 Cochrane review found that zinc supplementation may be beneficial to treat diarrhea in zinc -deficient or malnourished children who are over 6 mo old ( 4 ) .	In children older than 6 months who are undernourished or who have a zinc deficiency , zinc supplementation may help treat diarrhea .	3.5
Maintenance treatment is corticosteroids as replacement for deficient steroids ( typically , oral hydrocortisone 3.5 to 5 mg/m2 tid , with total daily dose typically ≤ 20 mg/m2 ) .	Usually , treatment can be started with hydrocortisone ( the drug form of cortisol ) or prednisone ( a synthetic corticosteroid ) taken by mouth .	2.0
No laboratory test is diagnostic , but results can increase suspicion for the disorder or rule out other disorders that can simulate ankylosing spondylitis .	People who fulfill one or both parts of the criteria may have ankylosing spondylitis .	2.0
Although incapacitating agents are sometimes mistakenly referred to as nonlethal , in high doses , these agents can cause serious injury or death .	In high doses , incapacitating agents can cause serious injury or death .	4.0
Treatment is with mebendazole , albendazole , or ivermectin .	Ivermectin is more likely to cure the infection than albendazole .	0.5
Physical and occupational therapists may visit a patient ’ s home to assess its safety .	A visiting nurse or an occupational or a physical therapist can evaluate homes for safety and recommend useful changes .	3.0
Severe dehydration causes weakness , fatigue , and mental status changes .	Some children become dehydrated , resulting in weakness , fatigue , and a rapid pulse .	2.0
Treatment goals for chronic hepatitis include treating the cause and , if cirrhosis and portal hypertension have developed , managing complications ( eg , ascites , encephalopathy ) .	Chronic hepatitis can result in cirrhosis with portal hypertension and liver failure .	2.0
When it does develop over a period of time , cirrhosis and portal hypertension tend to develop .	Cirrhosis can cause complications ( such as portal hypertension ) that cause symptoms .	2.0
The main goal is to distinguish globus sensation from true dysphagia , which suggests a structural or motor disorder of the pharynx or esophagus .	The history is focused on distinguishing globus sensation from difficulty swallowing , which suggests a structural or motility ( movement ) disorder of the throat or esophagus .	3.0
Body composition—the percentage of body fat and muscle—is also considered when obesity is diagnosed .	In such cases , they determine body composition ( the percentage of body fat and muscle ) .	3.0
